model,entity,precision,recall,f1,support
medgemma-4b-it-ORACLE,Dose,0.8127,0.6143,0.6997,897
medgemma-4b-it-ORACLE,Duration,0.7953,0.7246,0.7583,236
medgemma-4b-it-ORACLE,Frequency,0.7772,0.4803,0.5937,864
medgemma-4b-it-ORACLE,Medication,0.8385,0.6621,0.7399,1811
medgemma-4b-it-ORACLE,Mode,0.6926,0.273,0.3916,784
medgemma-4b-it-ORACLE,Reason,0.753,0.6995,0.7253,619
medgemma-4b-it-ORACLE,micro avg,0.7974,0.5724,0.6664,5211
medgemma-4b-it-ORACLE,macro avg,0.7782,0.5756,0.6514,5211
medgemma-4b-it-ORACLE,weighted avg,0.7898,0.5724,0.6554,5211
